"tm"	"channel_name"	"ocean_region"	"ges_id_octal"	"channel_unit_id"	"channel_type"	"su_type"	"BFO"	"BTO"
2014-03-07 16:00:13	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"0x15,-,Log-on/Log-off,Acknowledge,103,14820"	103	14820
2014-03-07 16:00:13	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x15,-,Log-on/Log-off,Acknowledge"	NA	NA
2014-03-07 16:00:17	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"Eleven,Octet,User,Data,103,14740"	103	14740
2014-03-07 16:00:17	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"Eleven,Octet,User,Data,103,14780"	103	14780
2014-03-07 16:00:18	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"Eight,Octet,User,Data,103,14820"	103	14820
2014-03-07 16:00:18	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x62,-,Acknowledge,User,Data"	NA	NA
2014-03-07 16:00:20	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x71,-,User,Data,(ISU),-,RLS"	NA	NA
2014-03-07 16:00:20	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:00:20	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:00:20	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:00:22	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"0x62,-,Acknowledge,User,Data,(R-channel),104,14740"	104	14740
2014-03-07 16:00:23	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"0x22,-,Access,Request,(R/T-Channel),103,14820"	103	14820
2014-03-07 16:00:23	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x51,-,T-Channel,Assignment"	NA	NA
2014-03-07 16:00:27	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"0x71,-,User,Data,(ISU),-,RLS,86,9820"	86	9820
2014-03-07 16:00:27	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,86,9820"	86	9820
2014-03-07 16:00:28	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,88,9820"	88	9820
2014-03-07 16:00:28	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,88,9820"	88	9820
2014-03-07 16:00:28	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,88,9820"	88	9820
2014-03-07 16:00:28	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,88,9820"	88	9820
2014-03-07 16:00:29	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x62,-,Acknowledge,User,Data"	NA	NA
2014-03-07 16:00:30	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x71,-,User,Data,(ISU),-,RLS"	NA	NA
2014-03-07 16:00:30	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:00:30	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:00:30	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:00:32	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"0x62,-,Acknowledge,User,Data,(R-channel),85,14820"	85	14820
2014-03-07 16:01:16	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"Eleven,Octet,User,Data,86,14820"	86	14820
2014-03-07 16:01:16	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"Four,Octet,User,Data,86,14820"	86	14820
2014-03-07 16:01:17	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x62,-,Acknowledge,User,Data"	NA	NA
2014-03-07 16:01:18	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x71,-,User,Data,(ISU),-,RLS"	NA	NA
2014-03-07 16:01:18	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:01:19	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"0x22,-,Access,Request,(R/T-Channel),87,14780"	87	14780
2014-03-07 16:01:20	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x51,-,T-Channel,Assignment"	NA	NA
2014-03-07 16:01:20	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"0x62,-,Acknowledge,User,Data,(R-channel),87,14800"	87	14800
2014-03-07 16:01:24	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"0x71,-,User,Data,(ISU),-,RLS,88,9800"	88	9800
2014-03-07 16:01:24	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,88,9800"	88	9800
2014-03-07 16:01:24	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,88,9800"	88	9800
2014-03-07 16:01:24	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,88,9800"	88	9800
2014-03-07 16:01:24	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,86,9800"	86	9800
2014-03-07 16:01:25	"IOR-T1200-0-36D8"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,86,9800"	86	9800
2014-03-07 16:01:25	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x62,-,Acknowledge,User,Data"	NA	NA
2014-03-07 16:01:26	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x71,-,User,Data,(ISU),-,RLS"	NA	NA
2014-03-07 16:01:26	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:01:28	"IOR-R1200-0-36D3"	"IOR"	"305"	"8"	"R-Channel RX"	"0x62,-,Acknowledge,User,Data,(R-channel),86,14800"	86	14800
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x71,-,User,Data,(ISU),-,RLS"	NA	NA
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:06:32	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
